Group	Time	min.rec	spat.scale	cell	trait.g	pre.rec	pre.sps	pre.ratio	post.rec	post.sps	post.ratio	pre.raref	pre.95.low	pre.95.up	post.raref	post.95.low	post.95.up	status.change	perc.change	perc.95low	perc.95up	change.CI.span	pre.Mao.tau_int	pre.Mao.SD_int	pre.singletons	pre.tau.mean_int	pre.tauSD.mean_int	pre.singletons.mean_int	post.Mao.tau_int	post.Mao.SD_int	post.singletons	post.tau.mean_int	post.tauSD.mean_int	post.singletons.mean_int	Change.Mao_int	Change.Mao_int_CIlow	Change.Mao_int_CIup	Change.Mao_int_CIspan	Int_Pvalue	status.change.Mao_int	pre.Mao.tau_extr	pre.Mao.SD_extr	pre.singletons	pre.tau.mean_extr	pre.tauSD.mean_extr	pre.singletons.mean_extr	post.Mao.tau_extr	post.Mao.SD_extr	post.singletons	post.tau.mean_extr	post.tauSD.mean_extr	post.singletons.mean_extr	Change.Mao_extr	Change.Mao_extr_CIlow	Change.Mao_extr_CIup	Change.Mao_extr_CIspan	Extr_Pvalue	status.change.Mao_extr	pre.Mao.tau_extr_3x	pre.Mao.SD_extr_3x	pre.singletons	pre.tau.mean_extr_3x	pre.tauSD.mean_extr_3x	pre.singletons.mean_extr_3x	post.Mao.tau_extr_3x	post.Mao.SD_extr_3x	post.singletons	post.tau.mean_extr_3x	post.tauSD.mean_extr_3x	post.singletons.mean_extr_3x	Change.Mao_extr_3x	Change.Mao_extr_3x_CIlow	Change.Mao_extr_3x_CIup	Change.Mao_extr_3x_CIspan	Extr.3x_Pvalue	status.change.Mao_extr_3x
Plants	30-49vs50-69	30	G10	250440	insect_Nlow	83	23	3.61	69	11	6.27	21.8772	20.0566	23.6978	11	11	11	decrease	-49.719	-45.155	-53.582	8.427	21.8772	1.0804	5	18.637	1.579	5.35	11	1.7871	3	9.66	0.8333	1.63	-49.71934251	-60.0122994	-35.60629508	24.40600432	9.68E-100	decrease	23	1.0888	5	19.44	1.6148	5.16	11.5719	1.7869	3	9.9459	0.8108	1.42	-49.6873913	-60.36876615	-37.23811475	23.13065141	2.07E-101	decrease	21.8772	1.0804	5	18.637	1.579	5.35	11	1.7871	3	9.66	0.8333	1.63	-49.6873913	-60.36876615	-37.23811475	23.13065141	2.07E-101	decrease
Plants	30-49vs50-69	30	G10	200460	insect_Nlow	83	21	3.95	109	14	7.79	21	21	21	12.7797	10.9248	14.6345	decrease	-39.144	-47.977	-30.312	17.665	21	1.3513	4	18.97	1.3391	3.29	12.7797	2.2448	5	11.4987	1.1288	2.2	-39.14428571	-52.4910623	-24.34311877	28.14794354	3.05E-97	decrease	21.9393	1.4949	4	19.7112	1.6727	3.18	14	2.4152	5	12.04	1.1201	2.22	-36.18757207	-51.02543694	-17.42414384	33.6012931	1.04E-87	decrease	21	1.3513	4	18.97	1.3391	3.29	12.7797	2.2448	5	11.4987	1.1288	2.2	-36.18757207	-51.02543694	-17.42414384	33.6012931	1.04E-87	decrease
Plants	30-49vs50-69	30	G10	130460	insect_Nlow	326	20	16.3	1206	19	63.47	20	20	20	17.6886	16.0586	19.3187	decrease	-11.557	-19.707	-3.407	16.3	20	0.9759	2	18.72	0.9778	2.06	17.6886	0.7235	1	17.4774	0.6095	0.46	-11.557	-22.00388739	-0.401640768	21.60224662	7.38E-43	decrease	20.9956	1.8456	2	20.1569	1.9167	1.83	19	0	1	18.61	0.0614	0.34	-9.504848635	-22.84448432	13.08482645	35.92931077	1.95E-14	no.change	20.9819	1.7895	2	20.4503	2.0842	1.78	18.8107	0.184	1	18.4892	0.1238	0.29	-10.34796658	-24.79693491	12.65742246	37.45435737	4.36E-13	no.change
Plants	30-49vs50-69	30	G10	190410	insect_Nlow	104	29	3.59	731	28	26.11	29	29	29	19.8576	16.3784	23.3368	decrease	-31.526	-43.523	-19.528	23.995	29	2.9555	10	24.3	1.7156	5.53	19.8576	1.9223	3	19.4144	1.6257	1.98	-31.52551724	-45.41160141	-14.79050094	30.62110047	2.57E-87	decrease	41.4013	10.3552	10	29.9978	5.2156	5.51	28	1.6461	3	26.7	0.9051	1.78	-32.36927343	-49.31731234	8.464735241	57.78204758	1.83E-33	no.change	38.9919	6.9718	10	28.6184	3.6146	5.47	25.378	1.7606	3	24.5395	1.1875	1.74	-34.91468741	-48.44377775	-13.90370914	34.54006861	1.28E-56	decrease
Plants	30-49vs50-69	30	G10	260480	insect_Nlow	140	24	5.83	40	13	3.08	16.1569	12.8943	19.4195	13	13	13	no.change	-19.539	0.82	-33.057	33.877	16.1569	2.1738	6	15.2495	1.6133	3.32	13	1.4875	4	11.08	1.2295	2.69	-19.53902048	-41.50712285	10.31640761	51.82353045	8.86E-35	no.change	24	2.5584	6	21.27	1.5077	3.4	15.6083	3.2834	4	13.0567	2.6548	2.74	-34.96541667	-61.60242184	-5.853993041	55.7484288	9.39E-60	decrease	23.0927	2.4797	6	20.7442	1.3762	3.63	15.5413	3.1164	4	12.7112	1.9861	2.49	-32.70037718	-54.00065146	-8.193795278	45.80685618	2.01E-51	decrease
Plants	30-49vs50-69	30	G10	140390	insect_Nlow	83	20	4.15	68	13	5.23	18.5118	16.4481	20.5754	13	13	13	decrease	-29.775	-20.964	-36.818	15.854	18.5118	3.2704	8	16.1154	1.528	3.43	13	1.8283	3	11.66	0.8353	1.7	-29.7745222	-44.72575437	-10.59142361	34.13433076	1.42E-61	decrease	20	3.5082	8	16.87	1.4984	3.74	13.6182	1.8326	3	11.9245	0.9288	1.71	-31.909	-45.60445206	-13.3148786	32.28957346	3.94E-69	decrease	18.5118	3.2704	8	16.1154	1.528	3.43	13	1.8283	3	11.66	0.8353	1.7	-31.909	-45.60445206	-13.3148786	32.28957346	3.94E-69	decrease
Plants	30-49vs50-69	30	G10	140410	insect_Nlow	33	10	3.3	76	17	4.47	10	10	10	11.5275	8.6123	14.4428	no.change	15.275	-13.877	44.428	58.305	10	2.2361	5	8.2	0.9828	2.06	11.5275	2.4711	8	10.3919	1.5059	3.49	15.275	-21.07771496	63.69625924	84.77397421	1.57E-07	no.change	14.8134	4.2212	5	9.3452	1.647	2.17	17	3.332	8	13.96	1.5898	3.96	14.76095967	-24.2436945	85.65249025	109.8961848	4.06E-08	no.change	10	2.2361	5	8.2	0.9828	2.06	11.5275	2.4711	8	10.3919	1.5059	3.49	14.76095967	-24.2436945	85.65249025	109.8961848	4.06E-08	no.change
Plants	30-49vs50-69	30	G10	110460	insect_Nlow	53	18	2.94	1382	18	76.78	18	18	18	13.0531	10.5859	15.5203	decrease	-27.483	-41.189	-13.776	27.413	18	2.4495	6	15.24	1.4733	3.44	13.0531	1.3682	0	13.0075	1.3707	0.39	-27.48277778	-46.92964442	-4.978380439	41.95126398	3.17E-54	decrease	27	10.1735	6	19.0035	4.9964	3.83	18	0	0	17.72	0.0887	0.42	-33.33333333	-56.31935038	38.46781778	94.78716816	1.73E-24	no.change	24.6476	5.6605	6	18.4547	3.1658	3.7	15.6518	1.0281	0	15.5606	1.0262	0.46	-36.49767117	-54.60325051	-5.443426501	49.15982401	2.09E-35	decrease
Plants	30-49vs50-69	30	G10	160460	insect_Nlow	32	12	2.67	43	11	3.91	12	12	12	10.0445	8.4386	11.6504	decrease	-16.296	-29.678	-2.913	26.765	12	1.7321	4	10.16	1.0786	2.67	10.0445	1.1068	3	8.7995	0.9618	2.24	-16.29583333	-37.83792052	13.78550161	51.62342213	2.33E-25	no.change	13.1791	1.8435	4	10.6864	1.2256	2.76	11	1.1489	3	9.45	1.0188	2.07	-16.53451298	-39.9808052	12.9082489	52.8890541	2.06E-25	no.change	12	1.7321	4	10.16	1.0786	2.67	10.0445	1.1068	3	8.7995	0.9618	2.24	-16.53451298	-39.9808052	12.9082489	52.8890541	2.06E-25	no.change
Plants	30-49vs50-69	30	G10	130440	insect_Nlow	35	7	5	33	8	4.12	6.9429	6.4879	7.3978	8	8	8	increase	15.226	23.306	8.14	15.166	6.9429	0.0529	1	6.4588	0.3381	0.73	8	1.8516	4	6.46	0.7579	1.46	15.22562618	-14.76837429	43.51637357	58.28474786	6.08E-19	no.change	7	0	1	6.54	0.3725	0.86	8.24	1.8109	4	6.6947	0.7558	1.59	17.71428571	-11.5673226	51.13674288	62.70406548	3.39E-22	no.change	6.9429	0.0529	1	6.4588	0.3381	0.73	8	1.8516	4	6.46	0.7579	1.46	17.71428571	-11.5673226	51.13674288	62.70406548	3.39E-22	no.change
